"user_id","age","gender","ope","con","ext","agr","neu"
"749003","33","0","0.412598","-0.589482","-0.517712","-0.484584","0.187895"
"822540","36","0","-0.362532","-0.0731934","-0.626991","-0.149423","-0.194484"
"865071","20","0","0.343547","-0.168793","-0.442265","-0.213596","-0.383267"
"1459461","31","1","1.24822","0.0670011","-0.528041","-0.223827","0.234477"
"1603031","31","0","0.381508","0.239093","0.0321625","-0.000630163","-0.603136"
"2026441","50","1","0.384999","0.347141","0.0181162","-0.0832144","-0.575081"
"2093301","26","0","0.144806","-0.232827","-1.18311","0.608135","-0.0725615"
"3144431","72","0","0.162052","-0.0243261","0.00171759","0.108704","-0.289815"
"3488451","37","0","0.0167043","-0.177324","-0.161097","0.035164","-0.253975"
"3544741","28","0","0.220882","-0.2443","-0.364444","0.413429","-0.519506"
"4339771","30","1","0.132006","-0.19044","-0.108371","-0.158927","-0.280167"
"4521491","36","1","0.437385","0.0771078","-0.464281","0.0977094","-0.494166"
"4650621","54","0","0.246074","0.516172","-0.484036","0.162243","-0.420148"
"5666752","29","1","0.275508","0.182958","-0.405623","-0.27333","-0.523516"
"5690282","28","1","0.463431","-0.084519","-0.0268082","0.146248","-0.34326"
"5917992","38","0","0.426808","0.360037","-0.312425","-0.0524362","-0.356356"
"6051522","26","1","-0.00178654","-0.0523003","0.21156","0.0811905","0.123523"
"6332682","38","1","-0.000233252","0.10877","-0.157848","0.191169","-0.189673"
"6740082","46","0","0.228898","0.13918","-0.222432","0.0440441","-0.32488"
"7097802","43","0","0.0853879","0.821928","0.398105","0.52071","-1.01322"
"7182022","42","1","0.339122","0.331764","-0.116864","0.234121","-0.411156"
"7348342","33","0","0.208301","-0.807207","-1.49174","-0.797517","0.799799"
"7417492","58","1","0.130291","0.355392","-0.275965","0.436194","-0.100408"
"7544592","26","1","0.736668","-0.369306","-0.509665","0.329474","-0.363395"
"7765472","28","1","0.763038","-0.0851391","0.153922","0.167541","-0.348423"
"7899462","35","1","0.600853","-0.362807","0.378949","-0.314044","0.325454"
"7926272","45","0","0.0704598","0.12886","0.712908","0.310434","-0.583982"
"8194092","27","0","0.266469","-0.543056","-0.91017","-0.702852","0.183976"
"8406662","39","0","0.038284","0.373247","-0.113253","0.199027","-0.629433"
"8470262","22","0","0.371196","0.198831","0.00685298","0.347899","-0.478064"
"8513432","37","0","0.158581","0.286975","-0.0278249","-0.266953","-0.17055"
"9044272","55","0","0.355089","-0.023364","-0.113789","0.126625","-0.239217"
"9079602","23","1","0.529707","-0.747315","-0.338747","-0.105144","0.828527"
"9868472","35","0","0.8667","-0.190423","0.100736","-0.587589","-0.000396292"
"10234782","28","0","0.885297","0.256149","-0.407864","0.463341","-0.16077"
"10451182","44","0","0.0671899","0.159569","-1.10492","0.054948","0.120239"
"10773912","23","1","0.354213","-0.407715","-0.339391","-0.117109","0.319452"
"10955832","34","1","-0.0763636","-0.057449","-0.0903865","-0.0454114","-0.380188"
"11098712","32","0","0.200819","-0.101475","0.380258","-0.147254","-0.524331"
"12021352","29","1","0.01778","0.391596","0.599451","0.513962","-0.447642"
"12332182","38","1","0.459282","0.123038","-0.404348","-0.145925","0.0941422"
"13165752","37","1","-0.303448","0.253817","-0.0849025","0.417039","-0.394185"
"13309552","44","1","0.931537","0.0416053","-0.782166","-0.153012","0.587103"
"13981312","56","1","0.0758382","0.691914","-0.11069","0.377191","-0.228224"
"14030812","51","1","0.812344","-0.18405","-0.340847","0.0457742","-0.022325"
"14058536","35","0","-0.22512","-0.167396","-0.320715","-0.504029","-0.398002"
"14062421","22","0","0.815913","-0.292517","0.190652","-0.343412","-0.0676062"
"14124606","38","1","-0.209875","-0.03947","0.142139","0.00788289","-0.368419"
"14170289","44","0","-0.47539","0.663748","0.477262","1.07488","-1.06785"
"14171950","33","1","0.841331","0.261239","0.162683","0.0624216","-0.338257"
"14194825","62","0","0.714201","0.243997","0.178619","0.272768","-0.453036"
"14211227","31","1","0.233703","0.434292","0.716151","0.727718","-0.676234"
"14222204","23","1","-0.228454","0.404808","-1.03736","0.091519","-0.116408"
"14240153","39","0","0.15566","0.617701","0.247665","-0.0890982","-0.724625"
"14256294","45","1","0.46966","-0.188862","-0.356289","-0.662726","-0.0385472"
"14297464","38","0","-0.066304","-0.276421","-0.151869","-0.0714398","-0.267276"
"14336742","29","1","0.650641","-0.354217","-0.23645","-0.0896585","0.514818"
"14348851","25","1","1.18761","-0.279044","0.237591","-0.333802","-0.0981036"
"14429994","56","0","0.337723","-0.184435","0.135133","-0.0646446","-0.269079"
"14435859","35","1","0.887517","-0.294177","0.0619675","-0.184288","0.304746"
"14563740","44","0","0.0858704","-0.0731563","-0.190126","0.198944","-0.478865"
"14592726","39","1","0.733121","-0.0812956","-0.0861286","0.602987","0.544608"
"14614494","30","1","0.814177","-0.207751","-0.937254","0.0747477","0.677173"
"14707806","50","1","0.629227","0.115993","-0.528031","-0.066815","-0.54085"
"14849081","45","0","0.024756","0.502278","0.286429","0.0168342","-0.27216"
"14851038","36","0","0.757485","-0.533122","-0.923501","-0.27571","0.476293"
"14880410","41","1","0.253525","-0.0571939","-0.0156976","-0.029774","-0.138759"
"14910028","22","1","0.654178","-0.236329","-0.0754154","-0.853772","0.411569"
"15034178","36","1","0.815291","-0.290807","-0.0628368","-0.490397","0.67519"
"15039098","56","0","0.159824","-0.328014","-0.139473","0.150455","-0.4304"
"15076293","26","1","-0.117536","0.335775","-0.168455","0.416541","-0.649015"
"15099813","31","0","-0.231337","-0.0934071","-0.283955","-0.406511","-0.568144"
"15143247","26","1","0.501322","-0.338628","-0.160266","-0.299828","0.902387"
"15196943","39","0","-0.0778781","0.446172","0.450051","0.188566","-0.138788"
"15201386","49","0","0.149876","0.17729","-0.241434","0.0891579","-0.513167"
"15274196","27","1","0.315211","-0.414032","0.248197","-0.0873856","-0.0977497"
"15281952","47","1","-0.5213","0.753799","0.370458","0.299349","-0.954818"
"15335474","49","1","0.501263","0.208691","0.398409","0.167212","0.4289"
"15369325","26","1","-0.29775","-0.41806","-0.354379","-0.503773","0.296882"
"15388148","36","0","0.528032","0.260956","-0.00184389","0.033282","0.130564"
"15419131","38","1","0.788039","-0.306021","0.0337716","0.0308583","-0.218797"
"15436890","22","1","0.744329","0.16396","-0.0480194","-0.0307733","-0.237234"
"15437696","29","0","0.51659","0.0261208","0.185839","0.146368","-0.644843"
"15494123","32","0","0.12869","-0.186791","-0.792669","0.0413723","0.095778"
"15519857","43","0","-0.289607","0.030345","-0.186026","-0.0646074","-0.551634"
"15540235","27","0","0.42268","0.44628","-0.409955","-0.529262","-0.185314"
"15606388","58","0","0.410336","0.055428","0.0715334","0.326479","-0.40394"
"15655288","34","1","0.19859","0.112601","-0.186724","-0.186548","0.193409"
"15703735","27","1","0.519928","-0.624542","0.0762971","-0.104315","0.340746"
"15713534","40","0","0.174488","0.245371","-0.564935","0.0451259","-0.273521"
"15721421","24","0","0.736587","0.062416","-0.17019","-0.0926092","-0.276214"
